brand,post_id,comments,views,likes,is_removed,unique_faces,detected_faces,is_product_in_usage,product_clearly_seen,is_a_child_or_baby_present,hashtag_ad_count,standalone_ad_count,most_common,words_count,paid_partnership,KEYWORDS_CAPTION,has_emoji,sponsor_integration_in_caption,CTA_BUY,CTA_GIFT,CTA_SIGN_UP,CTA_READ,CTA_FIND_OUT,PG_BRAND,COTERIE_BRAND,HEALTHYBABY_BRAND,HONEST_BRAND,HUGGIES_BRAND,KUDOSTOBABY_BRAND,LUVS_BRAND,MYMILLIEMOON_BRAND,FIRST_PERSON_QUESTIONS,GENERAL_AUDIENCE_QUESTIONS,NEGATIVE_HOOK,brand_counts,narrative_changes,brand_as_sponsor,num_scenes
pampersus,DBWjNbBvoud,18,-1,1169,False,24.0,39.0,True,True,True,1,0,hashtag_ad,19,0,False,False,0.9473684210526316,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,287.0
pampersus,C7jpJS1sdL3,66,0,4918,False,95.0,129.0,False,True,True,1,0,hashtag_ad,161,0,False,False,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,383.0
pampersus,DB1gbXivPyS,9,-1,220,False,90.0,139.0,True,True,True,1,0,hashtag_ad,128,0,True,False,0.9375,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,379.0
pampersus,C8fyvTYgr1L,22,0,89,False,37.0,50.0,True,True,True,1,0,hashtag_ad,33,0,True,False,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,1.0,0.0,251.0
pampersus,C7juemCM0Fp,31,0,167,False,9.0,18.0,False,True,False,1,0,hashtag_ad,115,0,False,True,0.0347826086956521,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0.0,0.0,0.0,483.0
pampersus,C74uLkWu-Yt,25,0,630,False,80.0,129.0,True,True,True,1,0,hashtag_ad,63,0,False,True,0.3968253968253968,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,309.0
pampersus,C8fLGU5O-W8,10,0,2776,False,14.0,24.0,True,True,True,1,0,hashtag_ad,55,0,True,False,0.0545454545454545,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,227.0
pampersus,DAmPXTRvGLk,42,0,3,False,59.0,94.0,True,True,True,1,0,hashtag_ad,39,0,False,False,0.7692307692307693,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,441.0
pampersus,C8xFwihP3V0,56,0,1073,False,35.0,41.0,True,True,True,1,0,hashtag_ad,64,0,True,False,0.375,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,483.0
pampersus,C5WjxAUv1md,9,0,252,False,112.0,171.0,True,True,True,1,0,hashtag_ad,33,0,False,True,0.4848484848484848,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,497.0
pampersus,C6jklsmvMB4,5,0,263,False,192.0,265.0,False,True,True,1,0,hashtag_ad,33,0,False,False,0.4545454545454545,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,513.0
pampersus,C8pP_T9Rtas,18,0,3,False,,,,,,1,0,hashtag_ad,34,0,True,False,0.0,False,False,False,False,False,,,,,,,,,,,,,,,
